ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
19:58:49	loc0	6	7777	64	60	65	OK
20:00:34	loc0	6	1	64	58	64	OK
20:01:34	loc0	6	42	64	58	66	OK
20:02:35	loc0	6	7777	64	58	65	OK
20:03:36	loc0	6	13371337	64	58	66	OK
20:05:05	loc0	8	1	64	60	65	OK
20:06:14	loc0	8	42	64	61	65	OK
20:08:51	loc0	6	42	64	59	65	OK
20:08:51	loc0	6	13371337	64	59	65	OK
20:08:52	loc0	6	99	64	60	64	OK
20:08:52	loc0	6	1024	64	58	66	OK
20:08:53	loc0	6	7777	64	59	65	OK
20:08:58	loc0	6	1	64	60	64	OK
20:09:19	loc0	8	42	64	62	64	OK
20:09:20	loc0	8	1	None	None	?	FAIL
20:09:53	loc1	6	1	65	58	65	OK
20:09:57	loc0	8	7777	64	63	65	OK
20:09:59	loc0	8	13371337	64	63	64	OK
20:10:02	loc1	6	42	65	58	65	OK
20:10:09	loc0	8	99	64	63	64	OK
20:10:22	loc0	8	1024	None	None	?	FAIL
20:10:23	loc1	6	7777	65	59	65	OK
20:10:35	loc1	6	13371337	65	60	65	OK
20:10:58	loc1	6	99	65	59	66	OK
20:11:00	loc1	6	1024	65	58	65	OK
20:11:05	loc1	8	42	65	61	67	OK
20:11:29	loc1	8	1	None	None	?	FAIL
20:11:30	loc1	8	13371337	65	65	65	OK
20:11:36	loc1	8	7777	65	64	65	OK
20:11:56	loc1	8	99	None	None	?	FAIL
20:11:57	loc1	8	1024	65	64	65	OK
20:12:01	loc2	6	1	65	59	66	OK
20:12:06	loc2	6	7777	65	59	66	OK
20:12:08	loc2	6	42	65	60	66	OK
20:12:31	loc2	6	13371337	65	60	65	OK
20:12:35	loc2	6	99	65	59	65	OK
20:12:37	loc2	6	1024	65	59	65	OK
20:13:26	loc2	8	1	None	None	?	FAIL
20:13:27	loc2	8	42	None	None	?	FAIL
20:13:31	loc2	8	7777	None	None	?	FAIL
20:13:36	loc3	6	1	65	58	66	OK
20:13:36	loc2	8	13371337	None	None	?	FAIL
20:13:38	loc2	8	99	None	None	?	FAIL
20:13:41	loc3	6	42	65	63	66	OK
20:14:01	loc2	8	1024	None	None	?	FAIL
20:14:27	loc3	6	7777	65	60	65	OK
20:14:31	loc3	6	13371337	65	58	64	OK
20:14:38	loc3	6	1024	65	59	66	OK
20:14:39	loc3	6	99	65	58	65	OK
20:15:07	loc3	8	1	None	None	?	FAIL
20:15:08	loc3	8	42	None	None	?	FAIL
20:15:11	loc3	8	7777	None	None	?	FAIL
